name,type,legacy_stack,legacy_path,evo_stack,evo_path,import_type,import_outcome,skip_reason,adapt_notes,commit_sha,test_count,removability,stage
/roles,endpoint,Express+pgPool+JWT,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\roles.ts,Express+Prisma+@auth/express,D:\evo.heuresys.com\services\api-gateway\src\routes\roles.ts,clone-as-is,imported,,Action enum lowercase 'view' (era 'VIEW') · same constant export pattern,e10cb43,7,no-impact (router isolato + 1 mount line index.ts),Test Stage
/tenants,endpoint,Express+pgPool admin-pool,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\tenants.ts,Express+Prisma direct cross-tenant,D:\evo.heuresys.com\services\api-gateway\src\routes\tenants.ts,adapted,partial,/tenants/:id/stats deferred (Prisma allowlist initially missing locations/goals/performance_reviews),9/10 handler · raw SQL Pool → Prisma direct · BigInt serialize via serializeTenant() · admin pool pattern via prisma direct,f54bf7d,26,no-impact (router isolato + 1 mount line index.ts),Test Stage
/users,endpoint,Express+pgPool+JWT+bcryptjs,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\users.ts,Express+Prisma+@auth/express+bcryptjs,D:\evo.heuresys.com\services\api-gateway\src\routes\users.ts,adapted,imported,,9 handler · NextAuth v5 → v4 bridge · Prisma include employees+tenants · privilege escalation rules ported · bulk concurrent username uniqueness,3fc2117,24,no-impact (router isolato + 1 mount line index.ts),Test Stage
/employees (extend),endpoint,Express+pgPool+raw CTE,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\employees.ts,Express+Prisma withTenant RLS,D:\evo.heuresys.com\services\api-gateway\src\routes\employees.ts,adapted,partial,Skip 9/18 handler legacy: analytics-stats stats dashboard-stats distribution/department :id/manager-chain :id/direct-reports :id/career-history (CTE recursive + applyFieldPolicy fuori scope MVP),Esteso file evo esistente con 7 nuovi handler · GET / cursor-pagination preservato · UncheckedUpdateInput per FK direct,c0099d1,19,embedded-in-existing-file (file esistente esteso · estirpazione = ripristino state pre-c0099d1),Test Stage
/org-units,endpoint,Express+pgPool+raw CTE+cache,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\org-units.ts,Express+Prisma+JS tree assembly,D:\evo.heuresys.com\services\api-gateway\src\routes\org-units.ts,adapted,partial,Skip /:id/path /:id/move (recursive CTE → $queryRaw deferred Pack 1c) · cachedForTenant skipped (ROI),9/12 handler · raw SQL → Prisma + Map-based tree · org_level computed on POST/PATCH parent change · DELETE smart (children block · employees archive · else hard),5ef872a,21,no-impact (router isolato + 1 mount line index.ts),Test Stage
/workforce-planning,endpoint,Express+pgPool+WorkforcePlanningService class,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\routes\workforce-planning.ts,Express+Prisma+zod,D:\evo.heuresys.com\services\api-gateway\src\routes\workforce-planning.ts,adapted,partial,Skip 8/17 heavy aggregation handler: /inventory /gap-risk /hiring-recommendations /training-investments /projections /scenarios/:id/simulate · WorkforcePlanningService class (~500 LOC) NON portato,9/17 handler MVP CRUD · Decimal estimated_cost via new Prisma.Decimal() · enum action_type/priority,53a181a,15,depends-on-allowlist-expansion (workforce_plans + actions + scenarios) · router isolato + 1 mount line index.ts,Test Stage
escapeILIKE,helper,utils/sql-safety.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\sql-safety.ts,utils/sql-safety.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\sql-safety.ts,clone-as-is,imported,,1 funzione · escape backslash + % + _ for SQL ILIKE,f54bf7d,covered-via-tenants,no-impact (file isolato),Test Stage
safeParseInt,helper,utils/query-helpers.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\query-helpers.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Signature legacy {fallback} → evo positional fallback,f54bf7d,covered-implicitly,no-impact (file isolato),Test Stage
isUUID + UUID_REGEX,helper,utils/uuid.ts legacy isValidUUID,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\packages\shared\src\utils\uuid.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Renamed isValidUUID → isUUID · regex identica,f54bf7d,covered-via-routes-tests,no-impact (file isolato),Test Stage
buildMeta,helper,utils/pagination.ts legacy,D:\enzospenuso\Documents\GitHub\heuresys.com.evo\services\api-gateway\src\utils\pagination.ts,utils/pagination.ts evo,D:\evo.heuresys.com\services\api-gateway\src\utils\pagination.ts,adapted,imported,,Signature legacy buildMeta(total,limit,offset) → evo buildMeta({totalCount,limit,offset,rowCount}) · hasMore field added,f54bf7d,covered-via-tenants-list,no-impact (file isolato),Test Stage
